mkt_carrier_fl_num,frequency,relative_frequency
760,5156,0.00032371714680629114
775,5155,0.00032365436225493226
677,5155,0.00032365436225493226
833,5154,0.00032359157770357343
563,5145,0.00032302651674134364
653,5141,0.0003227753785359082
1106,5135,0.000322398671227755
761,5127,0.00032189639481688417
2074,5125,0.0003217708257141664
814,5123,0.0003216452566114487
2019,5113,0.00032101741109786007
561,5110,0.0003208290574437835
374,5109,0.00032076627289242464
356,5095,0.0003198872891734006
657,5091,0.0003196361509679651
812,5088,0.0003194477973138885
746,5077,0.00031875716724894107
578,5069,0.00031825489083807016
976,5069,0.00031825489083807016
315,5052,0.0003171875534649695
465,5045,0.0003167480616054575
350,5037,0.0003162457851945866
619,5035,0.0003161202160918689
2002,5035,0.0003161202160918689
575,5033,0.00031599464698915116
396,5027,0.00031561793968099797
1078,5022,0.00031530401692420366
1925,5014,0.00031480174051333275
467,5008,0.0003144250332051796
632,5006,0.0003142994641024619
1926,5006,0.0003142994641024619
424,5004,0.00031417389499974413
824,4999,0.0003138599722429498
324,4995,0.0003136088340375144
672,4992,0.0003134204803834378
877,4990,0.0003132949112807201
531,4990,0.0003132949112807201
696,4989,0.0003132321267293612
334,4982,0.0003127926348698492
878,4977,0.00031247871211305487
779,4974,0.00031229035845897833
599,4964,0.0003116625129453897
451,4955,0.0003110974519831599
311,4946,0.0003105323910209302
816,4937,0.0003099673300587004
768,4933,0.00030971619185326496
656,4927,0.0003093394845451118
483,4922,0.0003090255617883175
357,4921,0.00030896277723695863
407,4910,0.00030827214717201113
2236,4905,0.0003079582244152168
117,4902,0.0003077698707611403
327,4898,0.0003075187325557048
765,4898,0.0003075187325557048
348,4895,0.0003073303789016282
1412,4890,0.0003070164561448339
448,4889,0.00030695367159347506
792,4889,0.00030695367159347506
658,4882,0.00030651417973396304
195,4879,0.00030632582607988644
2067,4868,0.00030563519601493894
641,4867,0.0003055724114635801
1161,4866,0.0003055096269122212
762,4855,0.0003048189968472738
1534,4839,0.00030381444402553196
408,4836,0.00030362609037145536
381,4828,0.0003031238139605845
668,4824,0.00030287267575514903
502,4822,0.0003027471066524313
630,4820,0.0003026215375497136
834,4817,0.000302433183895637
417,4813,0.0003021820456902016
522,4808,0.0003018681229334073
1670,4808,0.0003018681229334073
490,4806,0.0003017425538306895
388,4803,0.00030155420017661296
866,4803,0.00030155420017661296
2134,4800,0.00030136584652253637
326,4798,0.00030124027741981865
573,4793,0.00030092635466302434
464,4791,0.0003008007855603066
794,4788,0.00030061243190623003
277,4783,0.0003002985091494357
426,4781,0.000300172940046718
491,4768,0.0002993567408790528
597,4768,0.0002993567408790528
1916,4761,0.00029891724901954077
577,4760,0.0002988544644681819
