origin_airport_id,frequency,relative_frequency
11444,398,0.00016932589150294596
11888,397,0.00016890044956449635
16233,395,0.00016804956568759714
15018,392,0.00016677323987224828
10415,389,0.00016549691405689945
10011,387,0.00016464603018000022
11484,386,0.00016422058824155063
14886,386,0.00016422058824155063
12026,384,0.0001633697043646514
15389,384,0.0001633697043646514
12492,384,0.0001633697043646514
13094,383,0.00016294426242620177
16215,382,0.00016251882048775215
10877,380,0.00016166793661085294
10146,379,0.00016124249467240333
10155,379,0.00016124249467240333
15595,378,0.0001608170527339537
11577,376,0.0001599661688570545
15231,376,0.0001599661688570545
14467,375,0.00015954072691860488
11053,375,0.00015954072691860488
15215,368,0.00015656263334945758
14674,368,0.00015656263334945758
11950,368,0.00015656263334945758
11778,365,0.00015528630753410875
16293,364,0.00015486086559565913
10210,363,0.00015443542365720951
11728,363,0.00015443542365720951
14924,361,0.0001535845397803103
10157,360,0.0001531590978418607
11399,359,0.00015273365590341107
12900,357,0.00015188277202651183
11185,356,0.00015145733008806221
11695,355,0.00015103188814961262
13667,354,0.000150606446211163
14268,354,0.000150606446211163
11643,353,0.00015018100427271339
10558,349,0.00014847923651891494
14842,349,0.00014847923651891494
16133,348,0.00014805379458046532
16263,346,0.00014720291070356608
11007,344,0.00014635202682666688
15567,342,0.00014550114294976764
13341,341,0.00014507570101131802
15012,341,0.00014507570101131802
14278,340,0.00014465025907286843
11907,340,0.00014465025907286843
14054,339,0.0001442248171344188
13459,339,0.0001442248171344188
12915,337,0.00014337393325751957
13398,336,0.00014294849131906996
15885,336,0.00014294849131906996
12119,332,0.0001412467235652715
12957,330,0.0001403958396883723
15236,330,0.0001403958396883723
12784,329,0.00013997039774992268
15718,328,0.00013954495581147306
11470,326,0.00013869407193457383
11519,324,0.00013784318805767462
12635,323,0.000137417746119225
12641,322,0.00013699230418077538
10717,320,0.00013614142030387617
10739,320,0.00013614142030387617
11233,320,0.00013614142030387617
12574,317,0.00013486509448852732
10621,315,0.00013401421061162808
11463,315,0.00013401421061162808
12180,314,0.0001335887686731785
14879,312,0.00013273788479627925
14288,312,0.00013273788479627925
14712,311,0.00013231244285782963
11619,310,0.00013188700091938002
12638,308,0.0001310361170424808
14062,307,0.0001306106751040312
11545,306,0.00013018523316558157
14046,305,0.00012975979122713195
13243,305,0.00012975979122713195
12055,304,0.00012933434928868236
11488,304,0.00012933434928868236
13504,304,0.00012933434928868236
12553,301,0.0001280580234733335
15406,301,0.0001280580234733335
13693,300,0.0001276325815348839
14487,300,0.0001276325815348839
12899,299,0.0001272071395964343
12878,295,0.00012550537184263582
11076,295,0.00012550537184263582
11534,295,0.00012550537184263582
10562,292,0.000124229046027287
15381,291,0.00012380360408883738
11290,289,0.00012295272021193817
14960,289,0.00012295272021193817
14905,289,0.00012295272021193817
13024,289,0.00012295272021193817
13203,287,0.00012210183633503893
16242,287,0.00012210183633503893
11075,286,0.00012167639439658931
10171,285,0.00012125095245813971
14229,282,0.00011997462664279087
13139,281,0.00011954918470434125
13111,280,0.00011912374276589164
15153,280,0.00011912374276589164
13676,280,0.00011912374276589164
14299,277,0.0001178474169505428
13933,275,0.00011699653307364358
14050,275,0.00011699653307364358
16252,274,0.00011657109113519396
13381,272,0.00011572020725829474
13109,269,0.0001144438814429459
11928,268,0.00011401843950449628
15385,267,0.00011359299756604667
16306,266,0.00011316755562759706
15048,265,0.00011274211368914745
13704,265,0.00011274211368914745
14704,264,0.00011231667175069783
15160,264,0.00011231667175069783
12857,263,0.00011189122981224821
15448,263,0.00011189122981224821
12621,261,0.00011104034593534899
15061,260,0.00011061490399689937
